region,asset,listed,name,symbol,update_dttm,last_page,summary,sector,industry,forum
KR,Equity,KOSPI,메타랩스,A090370,,,"{'company': ['메타랩스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,덕신하우징,A090410,,,"{'company': ['덕신하우징'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,아모레퍼시픽,A090430,,,"{'company': ['아모레퍼시픽'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,비에이치,A090460,,,"{'company': ['비에이치'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,제이스텍,A090470,,,"{'company': ['제이스텍'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,휴림로봇,A090710,,,"{'company': ['휴림로봇'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,현대이지웰,A090850,20210409 083008,,"{'company': ['현대이지웰'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,세원이앤씨,A091090,20220615 082547,,"{'company': ['세원이앤씨'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,이엠텍,A091120,,,"{'company': ['이엠텍'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,S&K폴리텍,A091340,,,"{'company': ['S&K폴리텍'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,텔레필드,A091440,,,"{'company': ['텔레필드'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,상신이디피,A091580,,,"{'company': ['상신이디피'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,남화토건,A091590,,,"{'company': ['남화토건'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,파트론,A091700,,,"{'company': ['파트론'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,티웨이항공,A091810,,,"{'company': ['티웨이항공'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,나노캠텍,A091970,,,"{'company': ['나노캠텍'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,셀트리온헬스케어,A091990,,,"{'company': ['셀트리온헬스케어'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,아미코젠,A092040,,,"{'company': ['아미코젠'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,디엔에프,A092070,,,"{'company': ['디엔에프'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,이크레더블,A092130,,,"{'company': ['이크레더블'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,서울바이오시스,A092190,,,"{'company': ['서울바이오시스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,디아이씨,A092200,,,"{'company': ['디아이씨'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,KEC,A092220,,,"{'company': ['KEC'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,KPX홀딩스,A092230,,,"{'company': ['KPX홀딩스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,현우산업,A092300,,,"{'company': ['현우산업'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,기신정기,A092440,,,"{'company': ['기신정기'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,한라IMS,A092460,,,"{'company': ['한라IMS'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,앤씨앤,A092600,,,"{'company': ['앤씨앤'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,네오팜,A092730,,,"{'company': ['네오팜'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,동양피스톤,A092780,,,"{'company': ['동양피스톤'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,엑시콘,A092870,,,"{'company': ['엑시콘'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,LF,A093050,,,"{'company': ['LF'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,빅솔론,A093190,,,"{'company': ['빅솔론'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,이아이디,A093230,,,"{'company': ['이아이디'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,형지엘리트,A093240,,,"{'company': ['형지엘리트'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,케이아이엔엑스,A093320,,,"{'company': ['케이아이엔엑스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,후성,A093370,,,"{'company': ['후성'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,풍강,A093380,,,"{'company': ['풍강'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,매커스,A093520,,,"{'company': ['매커스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,다믈멀티미디어,A093640,,,"{'company': ['다믈멀티미디어'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,서원인텍,A093920,,,"{'company': ['서원인텍'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,동운아나텍,A094170,,,"{'company': ['동운아나텍'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,효성ITX,A094280,,,"{'company': ['효성ITX'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,칩스앤미디어,A094360,,,"{'company': ['칩스앤미디어'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,갤럭시아머니트리,A094480,,,"{'company': ['갤럭시아머니트리'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,일진파워,A094820,,,"{'company': ['일진파워'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,슈프리마에이치큐,A094840,,,"{'company': ['슈프리마에이치큐'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,참좋은여행,A094850,,,"{'company': ['참좋은여행'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,네오리진,A094860,20210330 083939,,"{'company': ['네오리진'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,푸른기술,A094940,,,"{'company': ['푸른기술'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,제이엠티,A094970,,,"{'company': ['제이엠티'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,이엠코리아,A095190,,,"{'company': ['이엠코리아'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,웨이브일렉트로,A095270,,,"{'company': ['웨이브일렉트로'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,ISC,A095340,,,"{'company': ['ISC'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,미래나노텍,A095500,,,"{'company': ['미래나노텍'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,AJ네트웍스,A095570,,,"{'company': ['AJ네트웍스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,테스,A095610,,,"{'company': ['테스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,네오위즈,A095660,,,"{'company': ['네오위즈'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,제넥신,A095700,,,"{'company': ['제넥신'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,웅진씽크빅,A095720,,,"{'company': ['웅진씽크빅'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,에스에너지,A095910,,,"{'company': ['에스에너지'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,이트론,A096040,,,"{'company': ['이트론'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,크레버스,A096240,20220615 082547,,"{'company': ['크레버스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,대창솔루션,A096350,,,"{'company': ['대창솔루션'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,씨젠,A096530,,,"{'company': ['씨젠'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,알에프세미,A096610,,,"{'company': ['알에프세미'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,에스코넥,A096630,,,"{'company': ['에스코넥'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,멜파스,A096640,,,"{'company': ['멜파스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,에이루트,A096690,,,"{'company': ['에이루트'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,JW홀딩스,A096760,,,"{'company': ['JW홀딩스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,SK이노베이션,A096770,,,"{'company': ['SK이노베이션'], 'details': ['SK온'], 'execs': []}",,,
KR,Equity,KOSDAQ,엘디티,A096870,,,"{'company': ['엘디티'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,HJ중공업,A097230,20220615 082547,,"{'company': ['HJ중공업'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,엠씨넥스,A097520,,,"{'company': ['엠씨넥스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,에스맥,A097780,,,"{'company': ['에스맥'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,윈팩,A097800,,,"{'company': ['윈팩'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,효성오앤비,A097870,,,"{'company': ['효성오앤비'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,CJ제일제당,A097950,,,"{'company': ['CJ제일제당'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,마이크로컨텍솔,A098120,,,"{'company': ['마이크로컨텍솔'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,고영,A098460,,,"{'company': ['고영'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,에스티오,A098660,,,"{'company': ['에스티오'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,아이센스,A099190,,,"{'company': ['아이센스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,SDN,A099220,,,"{'company': ['SDN'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,쎄트렉아이,A099320,,,"{'company': ['쎄트렉아이'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,동방선기,A099410,,,"{'company': ['동방선기'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,스맥,A099440,,,"{'company': ['스맥'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,ITX-AI,A099520,,,"{'company': ['ITX-AI'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,이지케어텍,A099750,,,"{'company': ['이지케어텍'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,인지소프트,A100030,20221021 080017,,"{'company': ['모바일리더'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,삼강엠앤티,A100090,,,"{'company': ['삼강엠앤티'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,뷰웍스,A100120,,,"{'company': ['뷰웍스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,동국S&C,A100130,,,"{'company': ['동국S&C'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,비상교육,A100220,,,"{'company': ['비상교육'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,진양홀딩스,A100250,,,"{'company': ['진양홀딩스'], 'details': [], 'execs': []}",,,
